| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:16:65:33                               | parse1                   |    2 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:23:65:26                                | parse1(String, Map<String,?>)                                                | parse0                                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:64:31:64:36                                | CommandLine                                            | parse1                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                    | CommandLine                  |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:16:65:33                               | parse1                   |    2 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:29:65:32                                | parse1(String, Map<String,?>)                                                | parse0                                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:64:31:64:36                                | CommandLine                                            | parse1                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                    | CommandLine                  |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:84:30:84:55                               | translateCommandline     |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:84:51:84:54                                | translateCommandline(String)                                                 | parse1                                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                                | CommandLine                                            | translateCommandline     | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                  | CommandLine                  |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:87:9:87:46                                | setSubstitutionMap       |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:87:31:87:45                                | setSubstitutionMap(Map<String,?>)                                            | parse1                                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                                | CommandLine                                            | setSubstitutionMap       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:386:17:386:34                  | CommandLine                  |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:89:13:89:35                               | addArgument0             |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:89:29:89:34                                | addArgument0(String)                                                         | parse1                                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                                | CommandLine                                            | addArgument0             | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:122:21:122:40                             | equals                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:122:33:122:39                              | equals(Object)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | equals                   | file:///8/java.base/java/lang/String.sig:0:0:0:0                                                                                                                                               | String                       |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:126:21:126:43                             | append                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:126:36:126:42                              | append(String)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | append                   | file:///8/java.base/java/lang/StringBuilder.sig:0:0:0:0                                                                                                                                        | StringBuilder                |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:130:21:130:40                             | equals                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:130:33:130:39                              | equals(Object)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | equals                   | file:///8/java.base/java/lang/String.sig:0:0:0:0                                                                                                                                               | String                       |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:134:21:134:43                             | append                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:134:36:134:42                              | append(String)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | append                   | file:///8/java.base/java/lang/StringBuilder.sig:0:0:0:0                                                                                                                                        | StringBuilder                |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:138:21:138:40                             | equals                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:138:33:138:39                              | equals(Object)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | equals                   | file:///8/java.base/java/lang/String.sig:0:0:0:0                                                                                                                                               | String                       |
| file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:140:28:140:47                             | equals                   |    1 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:140:40:140:46                              | equals(Object)                                                               | translateCommandline                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:101:29:101:48                              | CommandLine                                            | equals                   | file:///8/java.base/java/lang/String.sig:0:0:0:0                                                                                                                                               | String                       |
