| Attribute                                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:87:17:87:25                   | Ansi             |
| Color                                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:37:17:37:21                   | Ansi             |
| Erase                                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:131:17:131:21                 | Ansi             |
| NoAnsi                                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:215:26:215:31                 | Ansi             |
| Code                                             | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/AnsiRenderer.java:165:17:165:20         | AnsiRenderer     |
| Termios                                          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:139:25:139:31    | CLibrary         |
| WinSize                                          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/CLibrary.java:111:25:111:31    | CLibrary         |
| CHAR_INFO                                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:246:25:246:33    | Kernel32         |
| CONSOLE_SCREEN_BUFFER_INFO                       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:128:25:128:50    | Kernel32         |
| COORD                                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:103:25:103:29    | Kernel32         |
| FOCUS_EVENT_RECORD                               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:384:25:384:42    | Kernel32         |
| INPUT_RECORD                                     | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:414:25:414:36    | Kernel32         |
| KEY_EVENT_RECORD                                 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:274:25:274:40    | Kernel32         |
| MENU_EVENT_RECORD                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:399:25:399:41    | Kernel32         |
| MOUSE_EVENT_RECORD                               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:315:25:315:42    | Kernel32         |
| SMALL_RECT                                       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:65:25:65:34      | Kernel32         |
| WINDOW_BUFFER_SIZE_RECORD                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/Kernel32.java:363:25:363:49    | Kernel32         |
| ZeroWidthSupplier                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/io/AnsiOutputStream.java:55:25:55:41    | AnsiOutputStream |
| new Callable<Boolean>(...) { ... }               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:161:49:161:82                 | Ansi             |
| new InheritableThreadLocal<Boolean>(...) { ... } | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/Ansi.java:176:71:176:101                | Ansi             |
| new IoRunnable(...) { ... }                      | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:297:29:302:17          | AnsiConsole      |
| new IoRunnable(...) { ... }                      | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:303:31:309:17          | AnsiConsole      |
| new WidthSupplier(...) { ... }                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:319:29:319:62          | AnsiConsole      |
| new WidthSupplier(...) { ... }                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/AnsiConsole.java:321:29:321:36          | AnsiConsole      |
| new Runnable(...) { ... }                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/main/java/org/fusesource/jansi/internal/JansiLoader.java:76:41:76:60   | JansiLoader      |
| new Runnable(...) { ... }                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/jansi/src/test/java/org/fusesource/jansi/AnsiTest.java:171:20:171:54             | AnsiTest         |
